,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
34,Devajyoti Ray,1974,,0,India,,,https://en.wikipedia.org/wiki/Devajyoti_Ray,,,"Visual Art, Installation,",,,,Pseudorealism,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Alive,Other/Mixed,Other,"Visual Art, Installation,"
35,Edmund Thomas Clint,1976,1983,7,"(1976-05-19)19 May 1976Kochi, Kerala, India",(1983-04-15)15 April 1983 (aged 6),"child prodigy who painted over 25,000 paintings during his life of 6 years 11 months",https://en.wikipedia.org/wiki/Edmund_Thomas_Clint,Indian,,"Painting, drawing",,,,,,,,,,,,,,,,,,Clint,,,,,,,,,,,,,,7,Dead,India,Other,"Painting, drawing"
36,Dhiraj Choudhury,1936,2018,82,"Dhiraj ChowdhurySeptember 1936Brahmanbaria District, British India(now Bangladesh)","1 June 2018(2018-06-01) (aged 81)Kolkata, West Bengal, India",,https://en.wikipedia.org/wiki/Dhiraj_Choudhury,Indian,,Paintingdrawing,Leena Chowdhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Dead,India,Other,Paintingdrawing
37,Dhruvi Acharya,1971,,0,1971 (age 49–50)India,, visual artist,https://en.wikipedia.org/wiki/Dhruvi_Acharya,,,Painting,Manish Acharya,,,,,,,,,,,,,,2,,,,"Sophia College for Women, Maryland Institute College of Art",,,,,,,,,,,,,50,Alive,Other/Mixed,Other,Painting
38,Francis Newton Souza,1924,2002,78,"Francisco Victor Newton de Souza(1924-04-12)12 April 1924Goa, Portuguese India","28 March 2002(2002-03-28) (aged 77)Mumbai, India",,https://en.wikipedia.org/wiki/Francis_Newton_Souza,"Portuguese, then British",,"Painting, Drawing","

Maria Figueiredo
​ ​(m. 1946; div. 1964)​

Barbara Zinkant
​ ​(m. 1965; div. 1977)​","""Birth"", ""Words and Lines""",,Expressionism,,,,,,,,,,,"Shelley Souza
Keren Souza-Kohn Francesca Souza-Kohn Anya Souza-Kohn Francis Patrick Souza",,,,,,,,,Liselotte Kohn (1954–1961) Srimati Lal (1993–2002),,,,,,,,78,Dead,Other/Mixed,Other,"Painting, Drawing"
39,Gargi Raina,1961,,0,,, painter,https://en.wikipedia.org/wiki/Gargi_Raina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Alive,Other/Mixed,Other, painter
40,Gieve Patel,1940,,0,,,,https://en.wikipedia.org/wiki/Gieve_Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Alive,Other/Mixed,Other,0
41,Gogi Saroj Pal,1945,,0,,,,https://en.wikipedia.org/wiki/Gogi_Saroj_Pal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,Alive,Other/Mixed,Other,0
42,Gurpreet Singh Dhuri,1983,,0,"Gurpreet (1983-12-26) 26 December 1983 (age 37)Ghanaur Khurd, Punjab, India",,,https://en.wikipedia.org/wiki/Gurpreet_Singh_Dhuri,Indian,,"Sculp, portraiture and prosthetic designer",,,,,,,,Sculptor at Studio Hash,,,,,,,,,,,"Government College of Arts, Chandigarh (Passed out in 2009)",gurpreetdhuri.com,Labh SinghJoginder Kaur,,,,2003–present,,,,,,,38,Alive,India,Other,"Sculp, portraiture and prosthetic designer"
43,Jayant Parikh,1940,,0," (1940-04-02) 2 April 1940 (age 81)Bandhni, Gujarat, India",,,https://en.wikipedia.org/wiki/Jayant_Parikh,,,"Painting, printmaker, muralist",,,,Baroda Group[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Alive,Other/Mixed,Other,"Painting, printmaker, muralist"
44,Jahar Dasgupta,1942,,0,"Jahar Lal Dasgupta (1942-05-31) 31 May 1942 (age 79)Jamshedpur, British India",, painter,https://en.wikipedia.org/wiki/Jahar_Dasgupta,Indian,"Kala Bhavana, Santiniketan",Painting,,,Paricharan Sarkar Memorial Award,,,,,"Painter, sculptor, social activist, teacher",,,,,,,,,,,,,,,,,1969–present,,,,,,,79,Alive,India,Other,Painting
45,Jogen Chowdhury,1939,,0,"(1939-02-16)16 February 1939Daharpara Village, Faridpur, British India",,,https://en.wikipedia.org/wiki/Jogen_Chowdhury,,,,,,,,,,,painter,,,,,,,,,,,,http://www.jogenchowdhury.net/,,,,,,West Bengal,All India Trinamool Congress,,,,,82,Alive,Other/Mixed,Other,painter
46,John Wilkins (Indian artist),1927,1991,64,,,,https://en.wikipedia.org/wiki/John_Wilkins_(Indian_artist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Dead,Other/Mixed,Other,0
47,K.G. Subramanyan,1924,2016,92,"1924[1]Kuthuparamba, Kerala, India","29 June 2016(2016-06-29) (aged 92)[2]Vadodra, Gujarat, India",,https://en.wikipedia.org/wiki/K.G._Subramanyan,,Visva-Bharati University,,,,"Padma Shree, Kalidas Samman, Padma Bhushan, Padma Vibhushan","Contextual Modernism, Baroda Group[3]",,,,"Painter, sculptor, muralist, printmaker, writer, academic",,,,,,,,,,,Visva-Bharati University,,,,,,,,,,,,,92,Dead,Other/Mixed,Padma Recipient,"Painter, sculptor, muralist, printmaker, writer, academic"
